bucket,p_mean,obs,n
"(0.0403, 0.159]",0.12325494025267306,0.11904761904761904,378
"(0.159, 0.199]",0.18017094118562668,0.1724137931034483,377
"(0.199, 0.232]",0.21599585205173505,0.24603174603174602,378
"(0.232, 0.259]",0.24604847759656337,0.2519893899204244,377
"(0.259, 0.284]",0.2711543793730011,0.3201058201058201,378
"(0.284, 0.311]",0.2970516759201908,0.26790450928381965,377
"(0.311, 0.343]",0.3267385995148513,0.3129973474801061,377
"(0.343, 0.387]",0.3650812608834161,0.35978835978835977,378
"(0.387, 0.449]",0.4159298124425601,0.376657824933687,377
"(0.449, 0.764]",0.5211258945920595,0.48148148148148145,378
