bucket,p_mean,obs,n
"(0.0741, 0.267]",0.21591294517449808,0.23809523809523808,378
"(0.267, 0.319]",0.2953811759092675,0.3156498673740053,377
"(0.319, 0.361]",0.34119333319186207,0.3492063492063492,378
"(0.361, 0.396]",0.37836211606046266,0.4217506631299735,377
"(0.396, 0.426]",0.4109213266998774,0.4126984126984127,378
"(0.426, 0.458]",0.44165787303226334,0.4323607427055703,377
"(0.458, 0.491]",0.47431370932017086,0.48010610079575594,377
"(0.491, 0.539]",0.5146650122472282,0.48412698412698413,378
"(0.539, 0.605]",0.5700910778729639,0.5517241379310345,377
"(0.605, 0.834]",0.6683433300487146,0.701058201058201,378
